,Vendor,Model,Current_Price,Old_price,Time,Date
72,PowerCom,Macan MRT-3000SE,48000,47329,09.08.2022,15:34:58
73,PowerCom,King Pro RM KIN-1000AP,17370,19860,09.08.2022,15:34:58
74,PowerCom,Imperial IMD-1025AP,9490,,09.08.2022,15:34:58
75,PowerCom,Infinity INF-500,8170,,09.08.2022,15:34:58
76,Ippon,Back Power Pro II 700,6990,8640,09.08.2022,15:34:58
77,PowerCom,Smart King Pro+ SPR-1500 LCD,18890,20410,09.08.2022,15:34:58
78,PowerCom,Spider SPD-900U LCD,8550,8249,09.08.2022,15:34:58
79,PowerCom,Spider SPD-750U LCD,6330,6089,09.08.2022,15:34:58
80,PowerCom,King Pro RM KIN-1200AP LCD,20400,19779,09.08.2022,15:34:58
81,PowerCom,Macan MRT-1500SE,31670,30769,09.08.2022,15:34:58
82,Ippon,Smart Winner II 2000E,36990,38890,09.08.2022,15:34:58
83,PowerCom,Macan MAC-1500,27220,,09.08.2022,15:34:58
84,PowerCom,Imperial IMD-825AP,7320,,09.08.2022,15:34:58
85,PowerCom,King Pro RM KIN-3000AP LCD,38900,38550,09.08.2022,15:34:58
86,PowerCom,King Pro RM KIN-600AP RM,13290,,09.08.2022,15:34:58
87,PowerCom,Spider SPD-1100U LCD USB,8160,,09.08.2022,15:34:58
88,PowerCom,Imperial IMP-3000AP,20790,20539,09.08.2022,15:34:58
89,Ippon,Innova RT II 2000,59990,,09.08.2022,15:34:58
90,Ippon,Innova RT 1000,31990,,09.08.2022,15:34:58
91,HIPER,Office-400,4850,4689,09.08.2022,15:34:58
92,Eaton,9SX 1000i,42030,40619,09.08.2022,15:34:58
93,Eaton,9SX 1500I,55520,53639,09.08.2022,15:34:58
94,PowerCom,Imperial IMP-625AP,5840,,09.08.2022,15:34:58
95,PowerCom,Spider SPD-750U LCD USB,6330,6239,09.08.2022,15:34:58
96,HIPER,Office-600,4170,,09.08.2022,15:34:58
97,PowerCom,Imperial IMD-1500AP,15370,14949,09.08.2022,15:34:58
98,Eaton,5P 1550I,36470,44020,09.08.2022,15:34:58
99,PowerCom,Spider SPD-550U LCD,5630,5549,09.08.2022,15:34:58
100,Ippon,Innova RT 1500 Euro,47460,44490,09.08.2022,15:34:58
101,PowerCom,Smart King Pro+ SPR-1000 LCD,17300,,09.08.2022,15:34:58
102,PowerCom,Sentinel SNT-1500,34050,,09.08.2022,15:34:58
103,PowerCom,Smart King RT SRT-1000A LCD,22480,,09.08.2022,15:34:58
104,PowerCom,Imperial IMD-625AP,6280,6179,09.08.2022,15:34:58
105,PowerCom,Smart King RT SRT-2000A LCD,33920,35990,09.08.2022,15:34:58
106,PowerCom,Sentinel SNT-1000,30220,,09.08.2022,15:34:58
107,PowerCom,Macan MRT-10K,90670,,09.08.2022,15:34:58
108,Ippon,Smart Winner II 1150 1U,27190,,09.08.2022,15:34:58
109,PowerCom,Smart King Pro+ SPT-700,9350,9250,09.08.2022,15:34:58
110,PowerCom,SPT-500-II,7590,9550,09.08.2022,15:34:58
111,Ippon,Innova RT II 10000,245990,,09.08.2022,15:34:58
112,Eaton,5SC 1500i Rack2U,68640,67759,09.08.2022,15:34:58
113,PowerCom,Spider SPD-550U LCD USB,5490,5409,09.08.2022,15:34:58
114,Ippon,Innova RT 20K Tower 3/1,445090,,09.08.2022,15:34:58
115,Ippon,Innova RT II 1000,35990,,09.08.2022,15:34:58
116,Ippon,Innova RT 1500,43990,,09.08.2022,15:34:58
117,PowerCom,Imperial IMD-525AP,5680,,09.08.2022,15:34:58
118,PowerCom,Macan MRT-1000SE,26160,,09.08.2022,15:34:58
119,Eaton,9SX 700i,28470,,09.08.2022,15:34:58
120,PowerCom,Macan MRT-2000SE,39600,,09.08.2022,15:34:58
121,PowerCom,Smart King Pro+ SPR-3000 LCD,36320,44990,09.08.2022,15:34:58
122,PowerCom,Sentinel SNT-2000,46360,46260,09.08.2022,15:34:58
123,Tripp Lite,AVRX750UD,8410,8059,09.08.2022,15:34:58
